participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
2,stimuli/tones/silence.wav,2,8,noResp,NA,G_1,stimuli/Baron6dB/070300.wav,stimuli/Laker/020202.wav,stimuli/Arrow/040300.wav,NA,1,silence,silence,G_1,1,0,0,1,0
2,stimuli/tones/PercTri-21dB.wav,0.75,9,space,1.3489,B_2,stimuli/Baron6dB/070001.wav,stimuli/Charlie/000101.wav,stimuli/Arrow/040000.wav,NA,1,-21dB,PercTri,B_2,1,1,0,0,0
2,stimuli/tones/silence.wav,1.25,10,noResp,NA,W_4,stimuli/Baron6dB/070203.wav,stimuli/Laker/020002.wav,stimuli/Charlie/000103.wav,NA,1,silence,silence,W_4,1,0,0,1,0
2,stimuli/tones/silence.wav,2,11,noResp,NA,G_2,stimuli/Baron6dB/070301.wav,stimuli/Arrow/040102.wav,stimuli/Tiger/050101.wav,NA,1,silence,silence,G_2,1,0,0,1,0
2,stimuli/tones/PercTri-21dB.wav,2,12,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Charlie/000302.wav,stimuli/Ringo/010201.wav,NA,0,-21dB,PercTri,G_4,1,0,1,0,0
2,stimuli/tones/silence.wav,0.75,13,space,0.1426,R_2,stimuli/Baron6dB/070101.wav,stimuli/Arrow/040203.wav,stimuli/Laker/020103.wav,NA,0,silence,silence,R_2,1,0,0,0,1
2,stimuli/tones/silence.wav,0.75,14,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Hopper/030202.wav,stimuli/Tiger/050002.wav,NA,1,silence,silence,B_1,1,0,0,1,0
2,stimuli/tones/silence.wav,0.75,15,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Eagle/060200.wav,stimuli/Tiger/050001.wav,NA,1,silence,silence,B_4,1,0,0,1,0
2,stimuli/tones/FlatIEC-24dB.wav,1.25,16,space,2.5483,W_1,stimuli/Baron6dB/070200.wav,stimuli/Charlie/000003.wav,stimuli/Hopper/030303.wav,NA,1,-24dB,Flat,W_1,1,1,0,0,0
2,stimuli/tones/silence.wav,0.75,17,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Hopper/030102.wav,stimuli/Ringo/010102.wav,NA,1,silence,silence,B_1,1,0,0,1,0
