participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
F2024_19,stimuli/tones/silence.wav,1.25,69,noResp,NA,G_1,stimuli/Baron6dB/070300.wav,stimuli/Arrow/040203.wav,stimuli/Arrow/040300.wav,NA,1,silence,silence,G_1,1,0,0,1,0
F2024_19,stimuli/tones/PercTri-33dB.wav,2,70,noResp,NA,W_3,stimuli/Baron6dB/070202.wav,stimuli/Charlie/000301.wav,stimuli/Eagle/060000.wav,NA,0,-33dB,PercTri,W_3,1,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-18dB.wav,1.25,71,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Ringo/010202.wav,stimuli/Ringo/010303.wav,NA,0,-18dB,Flat,B_3,1,0,1,0,0
F2024_19,stimuli/tones/PercTri-33dB.wav,2,72,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Charlie/000102.wav,stimuli/Ringo/010002.wav,NA,0,-33dB,PercTri,B_2,1,0,1,0,0
F2024_19,stimuli/tones/silence.wav,0.75,73,noResp,NA,W_1,stimuli/Baron6dB/070200.wav,stimuli/Laker/020200.wav,stimuli/Laker/020002.wav,NA,1,silence,silence,W_1,1,0,0,1,0
F2024_19,stimuli/tones/PercTri-30dB.wav,1.25,74,noResp,NA,B_3,stimuli/Baron6dB/070301.wav,stimuli/Laker/020001.wav,stimuli/Charlie/000002.wav,NA,0,-30dB,PercTri,G_2,0,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-21dB.wav,0.75,75,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Arrow/040202.wav,stimuli/Charlie/000303.wav,NA,0,-21dB,Flat,R_3,1,0,1,0,0
F2024_19,stimuli/tones/silence.wav,2,76,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Laker/020002.wav,stimuli/Tiger/050203.wav,NA,1,silence,silence,G_4,1,0,0,1,0
F2024_19,stimuli/tones/FlatIEC-21dB.wav,2,77,noResp,NA,B_3,stimuli/Baron6dB/070302.wav,stimuli/Ringo/010201.wav,stimuli/Eagle/060100.wav,NA,0,-21dB,Flat,G_3,0,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-33dB.wav,0.75,78,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Charlie/000203.wav,stimuli/Charlie/000200.wav,NA,0,-33dB,Flat,B_1,1,0,1,0,0
